Type,Company,Number,Airport,Date,Scheduled,Updated,Gate
Departure,Southwest Airlines,232,LaGuardia (LGA),12/20/2025,1:35 PM,1:48 PM,A17
Arrival,Southwest Airlines,519,Orlando Intl (MCO),12/20/2025,1:35 PM,1:29 PM,B7
Arrival,Southwest Airlines,4180,Raleigh-Durham Intl (RDU),12/18/2025,1:40 PM,1:24 PM,B15
Arrival,Southwest Airlines,1226,Kansas City Intl (MCI),12/18/2025,1:40 PM,1:40 PM,B9
Departure,Southwest Airlines,2713,Charleston Intl (CHS),12/18/2025,1:40 PM,1:40 PM,B16
Arrival,Southwest Airlines,3206,Harry Reid Intl (LAS),12/20/2025,1:40 PM,1:54 PM,B2
Arrival,Southwest Airlines,4013,Portland Intl (PDX),12/20/2025,1:40 PM,1:23 PM,A15
Departure,Volaris,7703,Guanajuato Intl (BJX),12/18/2025,1:42 PM,1:42 PM,A3
Departure,Volaris,7703,Guanajuato Intl (BJX),12/20/2025,1:42 PM,3:46 PM,A1
Arrival,Southwest Airlines,3740,Philadelphia Intl (PHL),12/18/2025,1:45 PM,1:19 PM,B23
Departure,Southwest Airlines,537,Orlando Intl (MCO),12/18/2025,1:45 PM,1:45 PM,B11
Departure,Southwest Airlines,3182,Harry Reid Intl (LAS),12/19/2025,1:45 PM,2:00 PM,B15
Departure,Southwest Airlines,2885,William P Hobby (HOU),12/20/2025,1:45 PM,1:45 PM,B15
Departure,Delta Air Lines,3795,Minneapolis St Paul Intl (MSP),12/18/2025,1:50 PM,1:50 PM,A5
Departure,Southwest Airlines,2041,Ft Lauderdale / Hollywood Intl (FLL),12/18/2025,1:50 PM,1:59 PM,B17
Departure,Southwest Airlines,3207,Lambert / St Louis Intl (STL),12/18/2025,1:50 PM,1:50 PM,B14
Departure,Delta Air Lines,3795,Minneapolis St Paul Intl (MSP),12/19/2025,1:50 PM,1:50 PM,A5
Departure,Southwest Airlines,2993,Dallas / Love Field (DAL),12/19/2025,1:50 PM,2:01 PM,B5
Departure,Southwest Airlines,3704,El Paso Intl (ELP),12/19/2025,1:50 PM,2:06 PM,A11
Arrival,Southwest Airlines,1888,Memphis Intl (MEM),12/20/2025,1:50 PM,1:32 PM,B5
Departure,Southwest Airlines,396,Savannah Intl (SAV),12/18/2025,1:55 PM,1:55 PM,B12
Departure,Southwest Airlines,1505,Pittsburgh Intl (PIT),12/19/2025,1:55 PM,3:26 PM,A11
Departure,Southwest Airlines,1394,Phoenix Sky Harbor Intl (PHX),12/20/2025,1:55 PM,1:55 PM,B17
Arrival,Southwest Airlines,2257,Kansas City Intl (MCI),12/20/2025,1:55 PM,1:43 PM,A18
Arrival,Frontier Airlines,1888,Dallas Fort Worth Intl (DFW),12/19/2025,1:59 PM,1:57 PM,C3
Arrival,Volaris,2293,Dallas Fort Worth Intl (DFW),12/19/2025,1:59 PM,1:59 PM,
Departure,Southwest Airlines,2030,Richmond Intl (RIC),12/19/2025,2:00 PM,2:02 PM,A16
Arrival,Southwest Airlines,229,Cancun Intl (CUN),12/20/2025,2:00 PM,3:05 PM,A3
Arrival,Southwest Airlines,636,Ontario Intl (ONT),12/20/2025,2:00 PM,1:57 PM,A16
Arrival,Southwest Airlines,1692,Seattle Tacoma Intl (SEA),12/20/2025,2:00 PM,1:28 PM,A11
Arrival,Southwest Airlines,878,Eppley Airfield (OMA),12/18/2025,2:05 PM,2:05 PM,B22
Arrival,Southwest Airlines,878,Eppley Airfield (OMA),12/19/2025,2:05 PM,2:13 PM,B9
Arrival,Southwest Airlines,3730,San Jose Intl (SJC),12/19/2025,2:05 PM,1:55 PM,B11
Departure,Southwest Airlines,1394,Phoenix Sky Harbor Intl (PHX),12/19/2025,2:05 PM,2:05 PM,A19
Departure,Southwest Airlines,2799,Ft Lauderdale / Hollywood Intl (FLL),12/19/2025,2:05 PM,2:09 PM,B1
Arrival,Southwest Airlines,3730,San Jose Intl (SJC),12/20/2025,2:05 PM,2:01 PM,B19
Arrival,Southwest Airlines,4291,Louisville Intl (SDF),12/18/2025,2:10 PM,2:10 PM,B21
Arrival,Southwest Airlines,3374,Los Angeles Intl (LAX),12/19/2025,2:10 PM,1:48 PM,B19
Departure,Southwest Airlines,3810,Ronald Reagan / Washington National (DCA),12/20/2025,2:10 PM,2:10 PM,B11
Departure,Southwest Airlines,4535,Denver Intl (DEN),12/20/2025,2:10 PM,2:10 PM,A19
Arrival,Southwest Airlines,1021,Orlando Intl (MCO),12/18/2025,2:15 PM,2:27 PM,B24
Arrival,Southwest Airlines,15,William P Hobby (HOU),12/18/2025,2:15 PM,1:44 PM,B10
Departure,Southwest Airlines,519,Portland Intl (PDX),12/20/2025,2:15 PM,2:15 PM,B7
Arrival,Southwest Airlines,4438,Lambert / St Louis Intl (STL),12/20/2025,2:15 PM,1:57 PM,A16
Arrival,Southwest Airlines,2402,Denver Intl (DEN),12/20/2025,2:15 PM,2:10 PM,B3
Departure,Frontier Airlines,3281,George Bush Intercontinental (IAH),12/19/2025,2:16 PM,2:16 PM,C2
Departure,Volaris,2610,George Bush Intercontinental (IAH),12/19/2025,2:16 PM,2:16 PM,
Departure,Frontier Airlines,1458,Orlando Intl (MCO),12/20/2025,2:16 PM,2:16 PM,C2
Departure,Volaris,2170,Orlando Intl (MCO),12/20/2025,2:16 PM,2:16 PM,
Arrival,Southwest Airlines,3601,Albuquerque Intl Sunport (ABQ),12/18/2025,2:20 PM,2:20 PM,B26
Departure,Southwest Airlines,2514,Baltimore-Washington Intl (BWI),12/18/2025,2:20 PM,2:20 PM,B15
Arrival,Southwest Airlines,204,Albuquerque Intl Sunport (ABQ),12/19/2025,2:20 PM,2:06 PM,A15
Arrival,Southwest Airlines,878,Eppley Airfield (OMA),12/20/2025,2:20 PM,2:00 PM,A9
Arrival,Southwest Airlines,1484,Austin-Bergstrom Intl (AUS),12/20/2025,2:20 PM,2:28 PM,B19
Departure,Southwest Airlines,3740,Minneapolis St Paul Intl (MSP),12/18/2025,2:25 PM,2:25 PM,B23
Departure,Southwest Airlines,3680,Logan Intl (BOS),12/18/2025,2:25 PM,3:07 PM,B25
Arrival,Southwest Airlines,3602,Orlando Intl (MCO),12/19/2025,2:25 PM,2:54 PM,B17
Departure,Southwest Airlines,3955,Raleigh-Durham Intl (RDU),12/20/2025,2:25 PM,2:25 PM,A15
Arrival,Southwest Airlines,1907,Raleigh-Durham Intl (RDU),12/20/2025,2:25 PM,2:07 PM,B15
Arrival,Southwest Airlines,1228,Southwest Florida Intl (RSW),12/20/2025,2:25 PM,2:18 PM,B1
Arrival,Southwest Airlines,2556,Louis Armstrong New Orleans Intl (MSY),12/19/2025,2:30 PM,2:39 PM,B3
Departure,Southwest Airlines,1888,Tucson Intl (TUS),12/20/2025,2:30 PM,2:30 PM,B5
Arrival,Southwest Airlines,2556,Louis Armstrong New Orleans Intl (MSY),12/20/2025,2:30 PM,2:25 PM,A17
Departure,Volaris,7771,Francisco J Mujica Intl (MLM),12/18/2025,2:32 PM,2:32 PM,A1
Departure,Volaris,7771,Francisco J Mujica Intl (MLM),12/19/2025,2:32 PM,2:32 PM,A2
Departure,Volaris,7771,Francisco J Mujica Intl (MLM),12/20/2025,2:32 PM,2:34 PM,A2
Arrival,Southwest Airlines,4545,Phoenix Sky Harbor Intl (PHX),12/19/2025,2:35 PM,2:31 PM,A18
Departure,Southwest Airlines,3745,Myrtle Beach Intl (MYR),12/20/2025,2:35 PM,2:37 PM,B2
Departure,Southwest Airlines,2257,Savannah Intl (SAV),12/20/2025,2:35 PM,2:35 PM,A18
Arrival,Southwest Airlines,2082,Colorado Springs (COS),12/20/2025,2:35 PM,2:24 PM,A19
Departure,Southwest Airlines,3530,Louisville Intl (SDF),12/18/2025,2:40 PM,2:40 PM,B9
Arrival,Southwest Airlines,4870,Tampa Intl (TPA),12/20/2025,2:40 PM,2:53 PM,B11
Arrival,Southwest Airlines,215,Ronald Reagan / Washington National (DCA),12/20/2025,2:40 PM,2:57 PM,B7
Arrival,Southwest Airlines,2928,Pittsburgh Intl (PIT),12/18/2025,2:45 PM,2:45 PM,A15
Departure,Southwest Airlines,368,John Glenn Columbus Intl (CMH),12/20/2025,2:45 PM,2:45 PM,A11
